time_s,num_vehicles,mean_speed_mps,active_dags,server_100_queue,server_100_latency_ms,server_101_queue,server_101_latency_ms,cum_dispatched,cum_completed
0,1,13.89,0,0,18.5244,0,17.6607,0,0
0.1,1,14.0205,0,0,18.5914,0,17.6419,0,0
0.2,1,14.1862,0,0,18.6591,0,17.6232,0,0
0.3,1,14.3831,0,0,18.7278,0,17.6046,0,0
0.4,1,14.5737,0,0,18.7975,0,17.586,0,0
0.5,1,14.7102,0,0,18.8678,0,17.5676,0,0
0.6,1,14.6178,0,0,18.9378,0,17.5496,0,0
0.7,1,14.6859,1,0,19.008,0,17.5318,1,1
0.8,1,14.6254,1,0,19.0781,1,17.5145,3,2
0.9,1,14.6921,2,0,19.1484,1,17.4974,4,3
1,2,13.8689,2,0,13.9131,1,20.5968,5,4
1.1,2,13.8462,1,0,13.9277,1,20.6122,6,5
1.2,2,13.8072,1,0,13.9425,0,20.6277,6,6
1.3,2,13.7743,1,0,13.9575,0,20.6434,7,7
1.4,2,13.8136,1,0,13.9724,0,20.6595,9,9
1.5,2,13.8444,1,0,13.9878,0,20.6758,10,10
1.6,2,13.8078,0,0,14.0035,0,20.6921,11,11
1.7,2,13.8304,0,0,14.0194,0,20.7087,11,11
1.8,2,13.7901,0,0,14.0353,0,20.7255,11,11
1.9,2,13.8165,1,0,14.0515,0,20.7426,12,12
2,3,13.839,1,0,19.6564,0,17.0704,13,13
2.1,3,13.8634,1,0,19.656,1,17.0996,15,14
2.2,3,13.8252,0,0,19.6559,0,17.1289,15,15
2.3,3,13.8869,0,0,19.6561,0,17.1586,15,15
2.4,3,13.8807,0,0,19.6563,0,17.1885,15,15
2.5,3,13.851,0,0,19.6568,0,17.2186,15,15
2.6,3,13.8309,0,0,19.6576,0,17.2488,15,15
2.7,3,13.8808,0,0,19.6585,0,17.2794,15,15
2.8,3,13.8271,0,0,19.6597,0,17.3101,15,15
2.9,3,13.8954,0,0,19.661,0,17.3412,15,15
3,4,13.8503,0,0,21.6811,0,17.3054,15,15
3.1,4,13.9184,0,0,21.6864,0,17.3125,15,15
3.2,4,13.9611,1,0,21.6921,0,17.3194,16,16
3.3,4,14.017,1,0,21.698,0,17.3264,17,17
3.4,4,14.0547,1,0,21.7042,1,17.3333,19,18
3.5,4,14.0966,1,0,21.7106,1,17.3401,20,19
3.6,4,14.1577,0,0,21.7174,0,17.3469,20,20
3.7,4,14.1373,0,0,21.7244,0,17.3538,20,20
3.8,4,14.1458,0,0,21.7317,0,17.3608,20,20
3.9,4,14.1519,0,0,21.7393,0,17.3681,20,20
4,5,14.1022,0,0,20.9675,0,17.3323,20,20
4.1,5,14.1503,0,0,20.979,0,17.3253,20,20
4.2,5,14.1669,0,0,20.9909,0,17.3181,20,20
4.3,5,14.1709,0,0,21.003,0,17.3111,20,20
4.4,5,14.1666,0,0,21.0154,0,17.3043,20,20
4.5,5,14.1791,0,0,21.0281,0,17.2976,20,20
4.6,5,14.1726,1,0,21.0409,0,17.291,21,21
4.7,5,14.1433,1,0,21.0541,0,17.2846,22,22
4.8,5,14.206,1,0,21.0675,0,17.2783,23,23
4.9,5,14.2016,0,0,21.0812,0,17.2722,24,24
5,6,13.7515,0,0,18.9734,0,19.6148,24,24
5.1,6,13.7442,0,0,18.9788,0,19.6151,24,24
5.2,6,13.7381,0,0,18.9846,0,19.6155,24,24
5.3,6,13.7325,0,0,18.9906,0,19.616,24,24
5.4,6,13.7281,1,0,18.9969,0,19.6167,25,25
5.5,6,13.7152,1,0,19.0035,1,19.6174,27,26
5.6,6,13.7027,1,0,19.0104,1,19.6182,28,27
5.7,6,13.7296,0,0,19.0176,0,19.6193,28,28
5.8,6,13.7141,0,0,19.025,0,19.6203,28,28
5.9,6,13.6959,0,0,19.0327,0,19.6216,28,28
6,7,13.7162,0,0,17.5687,0,22.1066,28,28
6.1,7,13.7634,0,0,17.5693,0,22.1008,28,28
6.2,7,13.8315,0,0,17.5701,0,22.0951,28,28
6.3,7,13.8053,1,0,17.5711,0,22.0894,29,29
6.4,7,13.8233,1,1,17.5724,0,22.0838,31,30
6.5,7,13.8144,2,1,17.574,0,22.0785,32,31
6.6,7,13.8207,2,1,17.576,0,22.0732,33,32
6.7,7,13.8274,2,1,17.5783,0,22.0681,34,33
6.8,7,13.8214,2,1,17.5809,0,22.0631,35,34
6.9,7,13.8359,1,1,17.5838,0,22.058,36,35
7,8,13.6367,1,0,18.2301,0,20.4949,36,36
7.1,8,13.5994,0,0,18.2279,0,20.4966,37,37
7.2,8,13.646,0,0,18.2261,0,20.4985,37,37
7.3,8,13.6312,0,0,18.2247,0,20.5004,37,37
7.4,8,13.637,0,0,18.2235,0,20.5026,37,37
7.5,8,13.6276,0,0,18.2227,0,20.5048,37,37
7.6,8,13.6434,0,0,18.2222,0,20.5071,37,37
7.7,8,13.6272,0,0,18.222,0,20.5095,37,37
7.8,8,13.6119,0,0,18.2221,0,20.5121,37,37
7.9,8,13.6259,0,0,18.2226,0,20.5148,37,37
8,9,13.3645,1,0,17.128,0,21.7222,38,38
8.1,9,13.4216,1,0,17.1247,0,21.7282,39,39
8.2,9,13.4161,0,0,17.1217,0,21.7345,40,40
8.3,9,13.472,0,0,17.1189,0,21.7409,40,40
8.4,9,13.4794,0,0,17.1164,0,21.7475,40,40
8.5,9,13.5003,0,0,17.1141,0,21.7543,40,40
8.6,9,13.5216,0,0,17.1121,0,21.7613,40,40
8.7,9,13.5598,0,0,17.1104,0,21.7685,40,40
8.8,9,13.5462,0,0,17.1091,0,21.7759,40,40
8.9,9,13.5563,0,0,17.1081,0,21.7834,40,40
9,10,13.3873,0,0,18.0851,0,22.3271,40,40
9.1,10,13.391,0,0,18.079,0,22.333,40,40
9.2,10,13.3966,0,0,18.0732,0,22.3391,40,40
9.3,10,13.3563,0,0,18.0678,0,22.3452,40,40
9.4,10,13.3717,0,0,18.0627,0,22.3514,40,40
9.5,10,13.3563,0,0,18.058,0,22.3578,40,40
9.6,10,13.3798,0,0,18.0536,0,22.3642,40,40
9.7,10,13.3782,1,0,18.0495,0,22.3708,41,41
9.8,10,13.3825,1,0,18.0458,0,22.3775,42,42
9.9,10,13.3697,1,0,18.0423,1,22.3844,44,43
10,10,13.3911,1,0,18.0392,0,22.3913,44,44
10.1,10,13.3982,1,0,18.0365,0,22.3985,45,45
10.2,10,13.3816,0,0,18.0341,0,22.4057,46,46
10.3,10,13.3622,0,0,18.0321,0,22.413,46,46
10.4,10,13.3207,1,0,18.0301,0,22.4204,47,47
10.5,10,13.2918,1,0,18.0283,0,22.4278,48,48
10.6,10,13.2309,0,0,18.0266,0,22.4353,49,49
10.7,11,13.071,0,0,18.8305,0,22.871,49,49
10.8,11,13.0319,0,0,18.8239,0,22.877,49,49
10.9,11,13.012,0,0,18.8174,0,22.883,49,49
11,12,13.032,0,0,18.0423,0,22.8759,49,49
11.1,12,13.0368,0,0,18.0411,0,22.8775,49,49
11.2,12,12.9946,0,0,18.04,0,22.8792,49,49
11.3,12,12.9536,0,0,18.0391,0,22.8809,49,49
11.4,12,12.9213,0,0,18.0383,0,22.8827,49,49
11.5,12,12.8882,1,0,18.0377,0,22.8846,50,50
11.6,12,12.8321,2,0,18.0372,0,22.8865,52,52
11.7,12,12.7833,1,0,18.0369,1,22.8884,55,54
11.8,12,12.7551,0,0,18.0366,0,22.8905,55,55
11.9,12,12.7336,0,0,18.0366,0,22.8926,55,55
12,13,12.7833,0,0,19.0822,0,21.7957,55,55
12.1,13,12.7497,0,0,19.0853,0,21.7943,55,55
12.2,13,12.7348,0,0,19.0886,0,21.7929,55,55
12.3,13,12.7766,0,0,19.0923,0,21.7917,55,55
12.4,13,12.7884,0,0,19.0964,0,21.7905,55,55
12.5,13,12.7409,0,0,19.1007,0,21.7894,55,55
12.6,13,12.7289,0,0,19.105,0,21.7885,55,55
12.7,13,12.6977,1,0,19.1096,0,21.7877,56,56
12.8,13,12.6406,2,1,19.1142,0,21.787,58,57
12.9,13,12.6237,2,1,19.119,0,21.7863,59,58
13,14,12.6691,2,1,18.3554,0,22.416,60,59
13.1,14,12.6668,2,1,18.3567,0,22.4105,61,60
13.2,14,12.6668,2,1,18.3582,0,22.4049,62,61
13.3,14,12.6154,1,1,18.3599,0,22.3991,63,62
13.4,14,12.5657,0,0,18.3613,0,22.3927,63,63
13.5,14,12.4984,0,0,18.3628,0,22.3862,63,63
13.6,14,12.4009,0,0,18.3636,0,22.3794,63,63
13.7,14,12.3137,0,0,18.3643,0,22.3724,63,63
13.8,14,12.2322,0,0,18.3648,0,22.3654,63,63
13.9,14,12.1535,1,0,18.3651,0,22.3585,64,64
14,14,12.0431,1,0,18.3655,0,22.3516,65,65
14.1,14,11.9512,1,0,18.3661,1,22.3448,67,66
14.2,14,11.8526,1,0,18.3665,0,22.3383,67,67
14.3,14,11.7853,0,0,18.3669,0,22.3319,68,68
14.4,14,11.6799,0,0,18.3674,0,22.3256,68,68
14.5,14,11.5846,0,0,18.368,0,22.3192,68,68
14.6,14,11.5684,0,0,18.3687,0,22.313,68,68
14.7,14,11.5234,0,0,18.3697,0,22.3069,68,68
14.8,14,11.3904,0,0,18.3705,0,22.3009,68,68
14.9,14,11.2731,0,0,18.3713,0,22.295,68,68
15,15,11.187,0,0,18.9393,0,22.6132,68,68
15.1,15,11.1579,0,0,18.9357,0,22.6072,68,68
15.2,15,11.1174,0,0,18.9318,0,22.6014,68,68
15.3,15,11.0517,0,0,18.9275,0,22.5958,68,68
15.4,15,11.053,0,0,18.9227,0,22.5904,68,68
15.5,15,11.0746,1,0,18.9178,0,22.5852,69,69
15.6,15,11.0932,1,0,18.913,0,22.5803,70,70
15.7,15,11.1051,0,0,18.9076,0,22.5751,71,71
15.8,15,11.1129,0,0,18.9017,0,22.5698,71,71
15.9,15,11.1359,0,0,18.8956,0,22.5646,71,71
16,16,11.2126,1,0,18.8216,0,22.8174,72,72
16.1,16,11.2244,1,0,18.8133,2,22.808,75,73
16.2,16,11.2075,1,0,18.8046,1,22.7981,75,74
16.3,16,11.2378,1,0,18.7956,1,22.7877,76,75
16.4,16,11.2135,1,0,18.7868,1,22.7771,77,76
16.5,16,11.2011,0,0,18.7771,0,22.7668,77,77
16.6,16,11.2464,0,0,18.7672,0,22.7564,77,77
16.7,16,11.2703,0,0,18.7574,0,22.745,77,77
16.8,16,11.3274,0,0,18.7479,0,22.733,77,77
16.9,16,11.3837,0,0,18.7387,0,22.721,77,77
17,17,11.5317,0,0,18.63,0,22.4412,77,77
17.1,17,11.4985,0,0,18.6168,0,22.432,77,77
17.2,17,11.4932,0,0,18.6036,0,22.4231,77,77
17.3,17,11.5097,0,0,18.5903,0,22.4141,77,77
17.4,17,11.5259,1,0,18.577,0,22.4052,78,78
17.5,18,11.4433,1,0,19.0181,0,22.1253,80,80
17.6,18,11.4717,0,0,19.0017,0,22.1173,81,81
17.7,18,11.4939,0,0,18.9853,0,22.1094,81,81
17.8,18,11.509,0,0,18.9684,0,22.102,81,81
17.9,18,11.5348,0,0,18.9508,0,22.0953,81,81
18,19,11.6436,0,0,19.3822,0,22.3443,81,81
18.1,19,11.6662,0,0,19.3645,0,22.3351,81,81
18.2,19,11.7018,0,0,19.3462,0,22.3263,81,81
18.3,19,11.7136,0,0,19.3279,0,22.3177,81,81
18.4,19,11.7284,0,0,19.3094,0,22.3091,81,81
18.5,19,11.7599,0,0,19.2907,0,22.3008,81,81
18.6,19,11.8047,0,0,19.2717,0,22.2927,81,81
18.7,19,11.8438,0,0,19.2526,0,22.2847,81,81
18.8,19,11.8772,0,0,19.2333,0,22.2769,81,81
18.9,19,11.9136,1,0,19.2137,0,22.2692,82,82
19,20,12.0877,1,1,19.5902,0,22.0722,84,83
19.1,20,12.1504,1,1,19.5709,0,22.0684,86,85
19.2,20,12.2347,0,0,19.5516,0,22.0646,86,86
19.3,20,12.3146,0,0,19.5322,0,22.061,86,86
19.4,20,12.3772,0,0,19.5128,0,22.0574,86,86
19.5,20,12.4272,0,0,19.4932,0,22.0539,86,86
19.6,20,12.4781,0,0,19.4729,0,22.05,86,86
19.7,20,12.5152,0,0,19.4523,0,22.046,86,86
19.8,20,12.5496,0,0,19.4314,0,22.042,86,86
19.9,20,12.5613,1,0,19.4106,0,22.0381,87,87
20,21,12.6144,1,1,19.6008,0,21.3889,89,88
20.1,21,12.6002,1,1,19.5827,0,21.3826,90,89
20.2,21,12.5704,0,0,19.5643,0,21.3762,90,90
20.3,21,12.545,0,0,19.5458,0,21.3697,90,90
20.4,21,12.5091,0,0,19.5275,0,21.3632,90,90
20.5,21,12.4666,1,0,19.5091,0,21.3567,91,91
20.6,21,12.4401,1,2,19.4898,0,21.3503,94,92
20.7,21,12.3839,1,1,19.4642,0,21.3481,94,93
20.8,21,12.3403,2,1,19.4451,0,21.3417,95,94
20.9,21,12.3094,2,1,19.426,0,21.3353,96,95
21,22,11.9669,1,1,18.905,0,21.7848,97,96
21.1,22,11.951,1,0,18.8857,0,21.7794,97,97
21.2,22,11.9327,1,0,18.8663,0,21.7741,98,98
21.3,22,11.9671,1,0,18.8467,0,21.7689,99,99
21.4,22,11.9911,0,0,18.8272,0,21.7639,100,100
21.5,22,12.0293,0,0,18.8074,0,21.7589,100,100
21.6,22,12.0614,1,0,18.7877,0,21.7542,101,101
21.7,22,12.1192,1,0,18.7676,0,21.7493,102,102
21.8,22,12.1398,2,0,18.7473,1,21.7447,105,104
21.9,22,12.1402,2,0,18.7266,1,21.7402,107,106
22,23,12.2075,2,1,18.3049,1,22.1194,110,108
22.1,23,12.2147,1,0,18.2871,0,22.1141,110,110
22.2,23,12.227,0,0,18.2694,0,22.1089,111,111
22.3,23,12.2193,0,0,18.2515,0,22.104,111,111
22.4,23,12.2435,0,0,18.2336,0,22.0994,111,111
22.5,23,12.2555,0,0,18.2155,0,22.0949,111,111
22.6,23,12.2643,1,0,18.197,0,22.0906,112,112
22.7,23,12.2677,1,0,18.1785,0,22.0865,113,113
22.8,23,12.2903,1,0,18.16,1,22.0827,115,114
22.9,23,12.2948,1,0,18.1416,0,22.0791,115,115
23,24,12.3025,1,0,17.7214,2,22.4281,118,116
23.1,24,12.3033,1,0,17.7017,1,22.4225,118,117
23.2,24,12.3185,1,0,17.682,1,22.4171,119,118
23.3,24,12.3239,0,0,17.6623,0,22.4118,119,119
23.4,24,12.3165,0,0,17.6425,0,22.4068,119,119
23.5,24,12.2878,0,0,17.6228,0,22.4019,119,119
23.6,24,12.3238,0,0,17.6031,0,22.3966,119,119
23.7,24,12.3055,0,0,17.5835,0,22.3914,119,119
23.8,24,12.2902,0,0,17.564,0,22.3864,119,119
23.9,24,12.2485,0,0,17.5443,0,22.3815,119,119
24,25,12.1844,0,0,17.5646,0,22.1881,119,119
24.1,25,12.1402,0,0,17.5477,0,22.183,119,119
24.2,25,12.112,0,0,17.5309,0,22.1779,119,119
24.3,24,11.9183,1,0,17.8868,0,22.108,120,120
24.4,24,11.8903,1,0,17.8669,1,22.1047,122,121
24.5,24,11.9139,1,0,17.8469,2,22.1014,124,122
24.6,24,11.9185,1,0,17.8267,1,22.0981,124,123
24.7,24,11.9221,0,0,17.8061,0,22.0945,124,124
24.8,24,11.9336,0,0,17.7854,0,22.0908,124,124
24.9,24,11.9689,0,0,17.7644,0,22.0871,124,124
25,25,11.9865,0,0,17.7398,0,21.9413,124,124
25.1,25,11.9842,0,0,17.7183,0,21.9402,124,124
25.2,25,12.005,0,0,17.6966,0,21.9391,124,124
25.3,25,12.0235,0,0,17.6749,0,21.9384,124,124
25.4,25,12.0256,1,0,17.6534,0,21.9378,125,125
25.5,25,12.0159,2,2,17.6333,0,21.9304,128,126
25.6,25,12.0283,2,2,17.6113,0,21.9295,129,127
25.7,25,12.0306,2,1,17.5894,0,21.9289,129,128
25.8,25,12.0465,1,2,17.5675,0,21.9285,131,129
25.9,25,12.0785,1,1,17.5453,0,21.9276,131,130
26,26,12.1265,1,0,17.222,0,22.2693,131,131
26.1,26,12.1531,1,0,17.2026,0,22.2674,133,133
26.2,26,12.1632,1,0,17.1835,0,22.2657,134,134
26.3,26,12.2012,1,1,17.1643,0,22.2637,136,135
26.4,26,12.2194,1,0,17.1451,0,22.2616,136,136
26.5,26,12.2568,1,2,17.1261,0,22.2596,139,137
26.6,26,12.2643,1,2,17.1075,0,22.2575,140,138
26.7,26,12.2771,1,2,17.0891,0,22.2553,141,139
26.8,26,12.3057,1,1,17.0708,0,22.2532,141,140
26.9,26,12.3408,0,0,17.053,0,22.2511,141,141
27,27,12.3531,0,0,17.2465,0,21.78,141,141
27.1,27,12.3559,0,0,17.2282,0,21.78,141,141
27.2,27,12.3606,0,0,17.2103,0,21.78,141,141
27.3,27,12.371,0,0,17.1927,0,21.7801,141,141
27.4,27,12.3757,0,0,17.1754,0,21.7803,141,141
27.5,27,12.3914,0,0,17.1583,0,21.7806,141,141
27.6,27,12.4109,0,0,17.1413,0,21.7809,141,141
27.7,27,12.4139,0,0,17.1247,0,21.7814,141,141
27.8,27,12.4211,1,0,17.1082,0,21.7819,142,142
27.9,27,12.4388,1,0,17.092,0,21.7824,143,143
28,28,12.4835,1,0,17.4286,1,21.9861,145,144
28.1,28,12.5131,1,0,17.4109,1,21.9864,146,145
28.2,28,12.5005,1,0,17.3935,0,21.9868,147,147
28.3,28,12.5057,1,1,17.3765,0,21.9872,149,148
28.4,28,12.4794,1,1,17.3598,0,21.9877,150,149
28.5,28,12.4667,1,1,17.3475,0,21.9928,151,150
28.6,28,12.4486,1,1,17.3314,0,21.9933,152,151
28.7,28,12.4115,0,0,17.3157,0,21.9937,152,152
28.8,28,12.3973,0,0,17.3002,0,21.994,152,152
28.9,28,12.3706,0,0,17.2851,0,21.9943,152,152
29,29,12.3412,0,0,17.2731,0,22.1597,152,152
29.1,29,12.2979,0,0,17.2585,0,22.1576,152,152
29.2,29,12.246,0,0,17.2444,0,22.1554,152,152
29.3,29,12.2006,0,0,17.2307,0,22.1531,152,152
29.4,29,12.1325,0,0,17.2175,0,22.1507,152,152
29.5,29,12.0806,0,0,17.2047,0,22.148,152,152
29.6,29,12.0453,0,0,17.1923,0,22.1452,152,152
29.7,29,11.9769,0,0,17.1763,0,22.1375,152,152
29.8,29,11.9208,0,0,17.1648,0,22.1345,152,152
29.9,29,11.8634,0,0,17.1537,0,22.1311,152,152
30,30,11.8854,0,0,17.7976,0,21.6732,152,152
30.1,30,11.8298,0,0,17.7861,0,21.6682,152,152
30.2,30,11.7847,0,0,17.7751,0,21.6627,152,152
30.3,30,11.7739,0,0,17.7644,0,21.6571,152,152
30.4,30,11.7557,0,0,17.754,0,21.6516,152,152
30.5,30,11.7325,0,0,17.744,0,21.646,152,152
30.6,30,11.7114,0,0,17.7344,0,21.6403,152,152
30.7,30,11.6888,0,0,17.7252,0,21.6346,152,152
30.8,30,11.673,0,0,17.7161,0,21.629,152,152
30.9,30,11.6336,0,0,17.7073,0,21.6234,152,152
31,31,11.6569,0,0,17.7268,0,21.8053,152,152
31.1,31,11.6019,0,0,17.7206,0,21.7995,152,152
31.2,31,11.5754,1,0,17.7145,0,21.7936,153,153
31.3,31,11.5387,1,0,17.7084,0,21.7877,154,154
31.4,31,11.4927,1,0,17.7022,2,21.7819,157,155
31.5,31,11.4507,1,0,17.6958,1,21.7761,157,156
31.6,31,11.3932,1,0,17.6895,1,21.7701,158,157
31.7,31,11.3452,0,0,17.6834,0,21.7638,158,158
31.8,31,11.302,0,0,17.6774,0,21.7577,158,158
31.9,31,11.2728,0,0,17.6716,0,21.7516,158,158
32,32,10.89,0,0,17.9507,0,21.6083,158,158
32.1,32,10.8832,1,0,17.9454,0,21.6023,159,159
32.2,32,10.8534,1,0,17.9402,1,21.5961,161,160
32.3,32,10.8378,1,0,17.9351,0,21.59,161,161
32.4,32,10.8332,0,0,17.9301,0,21.5836,162,162
32.5,32,10.8437,0,0,17.9252,0,21.5772,162,162
32.6,32,10.8571,0,0,17.9209,0,21.5703,162,162
32.7,32,10.9211,0,0,17.9167,0,21.5635,162,162
32.8,32,10.9566,0,0,17.9127,0,21.5568,162,162
32.9,32,10.9926,0,0,17.9106,0,21.5459,162,162
33,33,11.1133,0,0,17.6206,0,21.841,162,162
33.1,33,11.1517,1,0,17.6148,0,21.8361,163,163
33.2,33,11.2005,1,0,17.6092,0,21.8313,164,164
33.3,33,11.2427,0,0,17.6034,0,21.8265,165,165
33.4,33,11.2785,0,0,17.5975,0,21.8223,165,165
33.5,33,11.3425,0,0,17.5911,0,21.8185,165,165
33.6,33,11.3782,0,0,17.5848,0,21.8147,165,165
33.7,33,11.4075,0,0,17.5786,0,21.811,165,165
33.8,33,11.4525,0,0,17.5706,0,21.8124,165,165
33.9,33,11.468,0,0,17.5635,0,21.8097,165,165
34,33,11.4835,0,0,17.5562,0,21.8074,165,165
34.1,33,11.5061,0,0,17.5488,0,21.8053,165,165
34.2,33,11.5414,0,0,17.5412,0,21.8038,165,165
34.3,33,11.5395,0,0,17.5336,0,21.8024,165,165
34.4,33,11.5686,0,0,17.5253,0,21.8012,165,165
34.5,33,11.5761,0,0,17.517,0,21.8001,165,165
34.6,33,11.5982,0,0,17.5049,0,21.8023,165,165
34.7,33,11.6272,0,0,17.4963,0,21.8017,165,165
34.8,33,11.6441,0,0,17.4875,0,21.8011,165,165
34.9,33,11.6549,0,0,17.4786,0,21.8006,165,165
35,34,11.569,0,0,17.2018,0,22.0814,165,165
35.1,34,11.5946,0,0,17.1922,0,22.0818,165,165
35.2,34,11.6187,0,0,17.1783,0,22.0841,165,165
35.3,34,11.6461,0,0,17.1686,0,22.0849,165,165
35.4,34,11.6692,0,0,17.1587,0,22.0857,165,165
35.5,34,11.7147,0,0,17.1488,0,22.0865,165,165
35.6,34,11.7455,0,0,17.1389,0,22.0876,165,165
35.7,34,11.7842,0,0,17.1289,0,22.0889,165,165
35.8,34,11.8187,1,0,17.1188,0,22.0901,166,166
35.9,34,11.832,1,0,17.1086,0,22.0914,167,167
36,35,11.9258,1,1,17.4022,0,21.9505,169,168
36.1,35,11.9511,1,2,17.3922,0,21.9503,171,169
36.2,35,11.9871,1,1,17.3818,0,21.95,171,170
36.3,35,12.0218,1,0,17.3714,0,21.9499,172,172
36.4,35,12.0592,1,0,17.3606,0,21.9499,173,173
36.5,35,12.0892,0,0,17.3496,0,21.9501,174,174
36.6,35,12.1234,0,0,17.3385,0,21.9506,174,174
36.7,35,12.1548,0,0,17.3275,0,21.9513,174,174
36.8,35,12.1819,0,0,17.3165,0,21.9523,174,174
36.9,35,12.2207,0,0,17.3054,0,21.9536,174,174
37,37,12.322,0,0,17.2357,0,21.6387,174,174
37.1,37,12.3488,0,0,17.2255,0,21.6405,174,174
37.2,37,12.3787,0,0,17.2152,0,21.6425,174,174
37.3,37,12.4167,0,0,17.2051,0,21.6449,174,174
37.4,37,12.4658,0,0,17.1949,0,21.6474,174,174
37.5,37,12.4881,0,0,17.1848,0,21.6503,174,174
37.6,37,12.5201,0,0,17.1747,0,21.6534,174,174
37.7,37,12.5653,0,0,17.1647,0,21.6567,174,174
37.8,37,12.5916,0,0,17.1548,0,21.6604,174,174
37.9,37,12.6008,1,0,17.145,0,21.6642,175,175
38,38,12.6379,1,0,17.4902,0,21.3181,176,176
38.1,38,12.6652,0,0,17.4793,0,21.321,177,177
38.2,38,12.6334,0,0,17.4685,0,21.324,177,177
38.3,38,12.6134,0,0,17.4578,0,21.3271,177,177
38.4,38,12.5944,0,0,17.4471,0,21.3303,177,177
38.5,38,12.5605,0,0,17.4367,0,21.3335,177,177
38.6,38,12.5353,0,0,17.4263,0,21.3367,177,177
38.7,38,12.487,0,0,17.4161,0,21.34,177,177
38.8,38,12.432,0,0,17.406,0,21.3433,177,177
38.9,38,12.3397,0,0,17.3945,0,21.3504,177,177
39,39,12.2591,0,0,17.1874,0,21.5968,177,177
39.1,39,12.1901,0,0,17.1792,0,21.5993,177,177
39.2,39,12.1133,0,0,17.171,0,21.6018,177,177
39.3,39,12.0496,0,0,17.1632,0,21.6044,177,177
39.4,39,11.9876,0,0,17.1556,0,21.6069,177,177
39.5,39,11.9301,1,0,17.1482,0,21.6094,178,178
39.6,39,11.8785,1,1,17.1411,0,21.6119,180,179
39.7,39,11.8168,0,0,17.1341,0,21.6144,180,180
39.8,39,11.733,0,0,17.1274,0,21.617,180,180
39.9,39,11.683,0,0,17.1208,0,21.6193,180,180
40,40,11.697,0,0,17.1509,0,21.767,180,180
40.1,40,11.6331,0,0,17.1464,0,21.7687,180,180
40.2,40,11.6065,0,0,17.1421,0,21.7703,180,180
40.3,40,11.5823,0,0,17.1381,0,21.7719,180,180
40.4,40,11.5967,0,0,17.1341,0,21.7734,180,180
40.5,40,11.6217,0,0,17.1301,0,21.7749,180,180
40.6,40,11.642,0,0,17.1261,0,21.7761,180,180
40.7,40,11.6412,0,0,17.1233,0,21.7734,180,180
40.8,40,11.6565,0,0,17.1196,0,21.7746,180,180
40.9,40,11.6694,0,0,17.1156,0,21.7755,180,180
41,41,11.7343,0,0,17.1213,0,21.6983,180,180
41.1,41,11.7503,0,0,17.117,0,21.7007,180,180
41.2,41,11.7599,0,0,17.1125,0,21.7031,180,180
41.3,41,11.7549,0,0,17.1081,0,21.7054,180,180
41.4,41,11.7465,0,0,17.1037,0,21.7076,180,180
41.5,41,11.757,0,0,17.0991,0,21.7097,180,180
41.6,41,11.7532,0,0,17.0959,0,21.7083,180,180
41.7,41,11.749,0,0,17.0909,0,21.7108,180,180
41.8,41,11.7384,0,0,17.0863,0,21.7129,180,180
41.9,41,11.7337,0,0,17.0817,0,21.7152,180,180
42,42,11.768,0,0,17.1125,0,21.6174,180,180
42.1,42,11.7777,1,0,17.1095,0,21.6195,181,181
42.2,42,11.769,1,0,17.1066,0,21.6214,182,182
42.3,42,11.7664,1,1,17.1038,0,21.6235,184,183
42.4,42,11.7635,0,0,17.1012,0,21.6256,184,184
42.5,42,11.7624,0,0,17.0986,0,21.6279,184,184
42.6,42,11.7753,0,0,17.096,0,21.6304,184,184
42.7,42,11.7872,0,0,17.0933,0,21.6325,184,184
42.8,42,11.8047,0,0,17.0908,0,21.6346,184,184
42.9,42,11.8412,0,0,17.092,0,21.6383,184,184
43,43,11.9171,0,0,17.5476,0,21.3347,184,184
43.1,43,11.9252,0,0,17.544,0,21.3352,184,184
43.2,43,11.9455,0,0,17.5404,0,21.3358,184,184
43.3,43,11.9508,0,0,17.5368,0,21.3363,184,184
43.4,43,11.9749,0,0,17.533,0,21.3367,184,184
43.5,43,11.9939,1,0,17.5289,0,21.3369,185,185
43.6,43,12.0257,1,1,17.5249,0,21.3371,187,186
43.7,43,12.0511,1,0,17.5205,0,21.3373,187,187
43.8,43,12.0585,1,1,17.5157,0,21.3376,189,188
43.9,43,12.0808,0,0,17.511,0,21.3379,189,189
44,44,11.8162,0,0,17.3013,0,21.547,189,189
44.1,44,11.8139,0,0,17.2966,0,21.5472,189,189
44.2,44,11.8149,0,0,17.292,0,21.5474,189,189
44.3,44,11.8287,0,0,17.2876,0,21.5473,189,189
44.4,44,11.8232,0,0,17.2832,0,21.5474,189,189
44.5,44,11.8254,0,0,17.2789,0,21.5473,189,189
44.6,44,11.8152,0,0,17.2748,0,21.5472,189,189
44.7,44,11.8065,0,0,17.2708,0,21.5468,189,189
44.8,44,11.8066,0,0,17.267,0,21.5463,189,189
44.9,44,11.7972,0,0,17.2633,0,21.5459,189,189
45,45,11.8233,0,0,17.2561,0,21.6828,189,189
45.1,45,11.8287,0,0,17.251,0,21.6824,189,189
45.2,45,11.8204,0,0,17.2459,0,21.6819,189,189
45.3,45,11.8148,0,0,17.2406,0,21.6811,189,189
45.4,45,11.8118,0,0,17.2355,0,21.6803,189,189
45.5,45,11.7917,0,0,17.2302,0,21.6794,189,189
